Product Id,Product Brand,Product Category,Product Name,Product Price,Product Rating,Product Reviews Count,Retailer,Product Tags,Main Category,Price Segment
3cef574c3a1f4f9c4a01ca889e46a5c9,Smashbox,Makeup > Face > Concealer,Smashbox Color Correcting Stick - Look Less Tired - Dark,2090.0,4.1,13.0,nykaa.com,"Smashbox Color Correcting Stick - Look Less Tired - Dark, Makeup, Face, Concealer",Makeup,Premium
7394201eb0856dc34ef00dfc86a8366a,Nivea,Personal Care > Face > Moisturizer,NIVEA Creme - All Season Multi Purpose Cream,175.0,4.5,1177.0,nykaa.com,Nivea Creme,Personal Care,Budget
18901030728867890103000000300000000000VHWF1R8IN,Vaseline,Skin > Body Care > Lotions & Creams,Vaseline Ice Cool Hydration Lotion,210.0,4.3,136.0,nykaa.com,"Vaseline Ice Cool Hydration Lotion, Skin, Body Care, Lotions & Creams",Skin,Budget
50deebf5cbb1c8229d791e5058dc7af9,Lime Crime,Makeup > Lips > Liquid Lipstick,Lime Crime Velvetines Liquid Matte Lipstick - Red Velvet,1900.0,4.6,65.0,nykaa.com,"Lime Crime Velvetines Liquid Matte Lipstick - Red Velvet, Makeup, Lips, Lipstick",Makeup,Premium
7ecdae7a98a91d96aca3d9e635aa56e0,Maybelline New York,Makeup > Lips > Lip Balm,Maybelline New York Alia Loves New York Baby Lips SPF 20 - Manhattan Mauve,175.0,4.3,3058.0,nykaa.com,"Maybelline New York Alia Loves New York Baby Lips - Manhattan Mauve, Lip Balm, Best Lip Balm, Chapstick, Chapped Lips, Lip Care, Lip Tint, Lip Smacker, Dry Lips, Baby Lipbalm, Best Lip Balm In India, Lip Makeup, Lipbalm With Spf, How To Make Lip Balm, Cracked Lips, Tinted Lip Balm, Lip Balm Brands, Lip Balm Price, Best Lip Balm For Women, Natural Lip Balm, Lip Stain, Dry Lips Treatment, Colored Lip Balm, Lip Balm For Women, Lip Moisturizer, Organic Lip Balm, Lip Cream, Dry Lips Remedy, Best Lip Balm For Daily Use, Strawberry Lip Balm, Lip Balm For Girls, Best Tinted Lip Balm",Makeup,Budget
c2ee6827e3dc67d5fbc18df2ae789570,Bobbi Brown,NFBA 2020 Nominees Online Sale,Bobbi Brown Crushed Liquid Lip Color - Big Apple,1800.0,4.1,522.0,nykaa.com,"Bobbi Brown Crushed Liquid Lip Color - Big Apple,Nykaa Luxe, Makeup, Lipstick",NFBA 2020 Nominees Online Sale,Premium
1ff3464e6463e34e4e8d3ed1d7ff5fc0,The Body Care,Natural > Combos @ Nykaa,The Body Care Herbal Shampoo With Conditioner,161.0,4.1,6.0,nykaa.com,"The Body Care Herbal Shampoo With Conditioner (400ml), Personal Care, Herbal, Half, Herbal, Hair, Shampoo, Conditioner, Shop By Concern, Dry & Frizzy Hair",Natural,Budget
95468730643c0fdffaa81253771485da,CADIVEU,Hair > Shop By Concern > Dry & Frizzy Hair,Cadiveu Brasil Cacau Brazilian Thermal Reconstruction,7000.0,4.3,2.0,nykaa.com,"Cadiveu Brasil Cacau Brazilian Thermal Reconstruction, Hair, Hair Care, Hair Creams & Masks",Hair,Premium
fc88b7f0ba8982b274d4daf71c55cb44,Street Wear,Makeup > Face > Foundation,Street Wear Foundation - Deep,320.0,3.7,14.0,nykaa.com,"Street Wear Foundation - Deep, Makeup, Face, Foundation",Makeup,Budget
c545b5953dd5220a0a448dca87fa543f,Versace,Nykaa Luxe > Fragrance > Perfumes (EDP/EDT),Versace Eros Pour Femme Eau De Toilette,3273.0,5.0,3.0,nykaa.com,"Versace Eros Pour Femme Edt Natural Spray, Nykaa Luxe,Fragrance, Women",Nykaa Luxe,Premium
